,symbol,stock,side,qty,cost basis,amount,fee,created date,date,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker,p&l ticker,p&l_line
826,SYNA,Synaptics,sell,0.777397,163.49,127.1,0.0,4/11/2022,4/11/2022,Inactive,1.0,10/28/2021,4/11/2022,6.0,1.7773969999999997,1.7773970000000001,-3.3306690738754696e-16,420.0,327.1,92.9,236.30081640736432,282.995689461112,184.03127468427144,-92.90372665000012,,-92.90372665000012,-56.602910242635794
827,AMPH,Amphastar Pharmaceuticals,buy,2.354071,42.48,100.0,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,2.354071,0.0,2.354071,100.0,0.0,100.0,42.48,42.48,0.0,0.0,0.0,,
828,APA,APA Corporation,buy,2.416726,41.38,100.0,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,2.416726,0.0,2.416726,100.0,0.0,100.0,41.38,41.38,0.0,0.0,0.0,,
829,HAL,Halliburton,buy,2.548095,39.25,100.0,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,2.548095,0.0,2.548095,100.0,0.0,100.0,39.25,39.25,0.0,0.0,0.0,,
830,HAL,Halliburton,buy,0.510529,39.18,20.0,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,2.0,3.058624,0.0,3.058624,120.0,0.0,120.0,39.23831597803457,39.23332845096357,0.0,0.0,,0.0,0.0
831,HES,Hess,buy,0.893368,111.94,100.0,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,0.893368,0.0,0.893368,100.0,0.0,100.0,111.94,111.94,0.0,0.0,0.0,,
832,HES,Hess,buy,0.107066,112.08,12.0,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,2.0,1.000434,0.0,1.000434,112.0,0.0,112.0,111.95498273749193,111.95141308672036,0.0,0.0,,0.0,0.0
833,HZNP,Horizon Therapeutics,buy,1.0,113.34,113.34,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,1.0,0.0,1.0,113.34,0.0,113.34,113.34,113.34,0.0,0.0,0.0,,
834,ABC,AmerisourceBergen,buy,1.0,165.24,165.24,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,1.0,0.0,1.0,165.24,0.0,165.24,165.24,165.24,0.0,0.0,0.0,,
835,EW,Edwards Lifesciences,buy,1.0,120.91,120.91,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,1.0,0.0,1.0,120.91,0.0,120.91,120.91,120.91,0.0,0.0,0.0,,
836,CVX,Chevron,buy,1.0,168.32,168.32,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,1.0,0.0,1.0,168.32,0.0,168.32,168.32,168.32,0.0,0.0,0.0,,
837,WMT,Walmart,buy,1.0,156.54,156.54,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,1.0,0.0,1.0,156.54,0.0,156.54,156.54,156.54,0.0,0.0,0.0,,
838,LPLA,LPL Financial,buy,1.0,197.69,197.69,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,1.0,0.0,1.0,197.69,0.0,197.69,197.69,197.69,0.0,0.0,0.0,,
839,UNH,UnitedHealth,buy,0.184189,542.92,100.0,0.0,4/11/2022,4/11/2022,Active,1.0,4/11/2022,n/a,1.0,0.184189,0.0,0.184189,100.0,0.0,100.0,542.92,542.92,0.0,0.0,0.0,,
